cod_empresa;cod_item_cliente;cod_cliente;cod_item;num_pedido;reg_logico
6;11414626;2,93076E+13;20-110-00853;39006;1
6;11414627;2,93076E+13;20-110-00854;39006;2
6;11414765;2,93076E+13;21-000-00009;39012;3
6;15166308;2,93076E+13;21-000-00017;39012;4
6;11175875;2,93076E+13;20-110-00998;39009;5
6;11175876;2,93076E+13;20-110-00999;39009;6
6;11400398;2,93076E+13;20-110-01005;39006;7
6;11400399;2,93076E+13;20-110-01006;39006;8
6;11413454;2,93076E+13;20-110-01010;39006;9
6;11413455;2,93076E+13;20-110-01011;39006;10
6;11413034;2,93076E+13;21-000-00007;39009;11
6;11413035;2,93076E+13;21-000-00006;39009;12
6;11413815;2,93076E+13;20-110-01012;39009;13
6;11413816;2,93076E+13;20-110-01013;39009;14
6;11414617;2,93076E+13;21-110-00025;39009;15
6;11436060;2,93076E+13;20-110-00995;39009;16
6;15032664;2,93076E+13;20-110-01158;39009;17
6;11175875;2,93076E+13;20-110-00998;39007;18
6;15166374;2,93076E+13;21-000-00012;39013;19
6;11414741;2,93076E+13;21-000-00013;39013;20
6;11175876;2,93076E+13;20-110-00999;39007;21
6;11413034;2,93076E+13;21-000-00007;39007;22
6;11413035;2,93076E+13;21-000-00006;39007;23
6;11413815;2,93076E+13;20-110-01012;39007;24
6;11413816;2,93076E+13;20-110-01013;39007;25
6;11414606;2,93076E+13;20-110-00982;39007;26
6;11413015;2,93076E+13;21-000-00025;39006;27
6;11413014;2,93076E+13;21-000-00026;39006;28
6;11414607;2,93076E+13;21-110-00024;39007;29
6;11435593;2,93076E+13;21-110-00027;39014;30
6;15100641;2,93076E+13;21-000-00015;39014;31
6;15169937;2,93076E+13;21-110-00073;39014;32
6;15032728;2,93076E+13;21-110-00030;39006;33
6;FF110027;2022;21-220-90034;39541;34
6;15032664;2,93076E+13;20-110-01158;39007;35
6;11414757;2,93076E+13;21-000-00014;39011;36
6;15166346;2,93076E+13;21-000-00016;39011;37
6;11414749;2,93076E+13;21-000-00024;39010;38
6;15166252;2,93076E+13;21-000-00018;39010;39
6;11175875;2,93076E+13;20-110-00998;39008;40
6;11175876;2,93076E+13;20-110-00999;39008;41
6;11413022;2,93076E+13;21-000-00005;39008;42
6;11413023;2,93076E+13;21-000-00004;39008;43
6;11413815;2,93076E+13;20-110-01012;39008;44
6;11413816;2,93076E+13;20-110-01013;39008;45
6;11414606;2,93076E+13;20-110-00982;39008;46
6;11414607;2,93076E+13;21-110-00024;39008;47
6;15032664;2,93076E+13;20-110-01158;39008;48
6;11435593;2,93076E+13;21-110-00027;39014;49
6;15100641;2,93076E+13;21-000-00015;39014;50
6;15169937;2,93076E+13;21-110-00073;39014;51
6;11435593;2,93076E+13;21-110-00027;39014;52
6;15100641;2,93076E+13;21-000-00015;39014;53
6;15169937;2,93076E+13;21-110-00073;39014;54
6;11435593;2,93076E+13;21-110-00027;39014;55
6;15100641;2,93076E+13;21-000-00015;39014;56
6;15169937;2,93076E+13;21-110-00073;39014;57
