cod_empresa;num_transac;cod_item;dat_movto;dat_ref_moeda_fort;cod_operacao;num_docum;num_seq;ies_tip_movto;qtd_movto;cus_unit_movto_p;cus_tot_movto_p;cus_unit_movto_f;cus_tot_movto_f;num_conta;num_secao_requis;cod_local_est_orig;cod_local_est_dest;num_lote_orig;num_lote_dest;ies_sit_est_orig;ies_sit_est_dest;cod_turno;nom_usuario;dat_proces;hor_operac;num_prog
"01";3.025.543;"SUP0073        ";20.07.2016;20.07.2016;"TRAN";"2134533   ";;"N";100,000;0,000;0,000;0,000;0,000;"";"";"322       ";"432       ";"18072016       ";"18072016       ";"L         ";"L         ";;"mrsilvei";20.07.2016;"09:42:10";"MAN6400 "
"01";3.025.544;"TIP038         ";20.07.2016;20.07.2016;"TRAN";"2134533   ";;"N";0,010;0,000;0,000;0,000;0,000;"";"";"322       ";"432       ";"055628/001     ";"055628/001     ";"L         ";"L         ";;"mrsilvei";20.07.2016;"09:42:11";"MAN6400 "
"01";3.025.545;"SUP0073        ";20.07.2016;20.07.2016;"S003";"2134533   ";;"N";100,000;0,000;0,000;0,000;0,000;"01100103               ";"10000000  ";"432       ";"";"18072016       ";"";"L         ";"          ";1,000;"mrsilvei";20.07.2016;"09:43:38";"MAN8228 "
"01";3.025.546;"TIP038         ";20.07.2016;20.07.2016;"S003";"2134533   ";;"N";0,010;0,000;0,000;0,000;0,000;"01100101               ";"10000000  ";"432       ";"";"055628/001     ";"";"L         ";"          ";1,000;"mrsilvei";20.07.2016;"09:43:38";"MAN8228 "
"01";3.025.547;"5962199000P-0D ";20.07.2016;20.07.2016;"E007";"2134533   ";;"N";100,000;0,000;0,000;0,000;0,000;"";"10000000  ";"          ";"326       ";"";"2134533        ";"          ";"L         ";1,000;"mrsilvei";20.07.2016;"09:44:17";"MAN8228 "
"01";3.025.548;"5962199000P-0D ";20.07.2016;20.07.2016;"E007";"2134533   ";;"R";100,000;0,000;0,000;0,000;0,000;"                       ";"10000000  ";"          ";"326       ";"";"2134533        ";"          ";"L         ";1,000;"mrsilvei";20.07.2016;"09:48:49";"MAN8228 "
"01";3.025.549;"SUP0073        ";20.07.2016;20.07.2016;"S003";"2134533   ";;"R";100,000;0,000;0,000;0,000;0,000;"01100103               ";"10000000  ";"432       ";"";"18072016       ";"";"L         ";"          ";1,000;"mrsilvei";20.07.2016;"09:48:55";"MAN8228 "
"01";3.025.550;"TIP038         ";20.07.2016;20.07.2016;"S003";"2134533   ";;"R";0,010;0,000;0,000;0,000;0,000;"01100101               ";"10000000  ";"432       ";"";"055628/001     ";"";"L         ";"          ";1,000;"mrsilvei";20.07.2016;"09:48:56";"MAN8228 "
"01";3.025.551;"SUP0073        ";20.07.2016;20.07.2016;"TRAN";"2134534   ";;"N";240,000;0,000;0,000;0,000;0,000;"";"";"322       ";"432       ";"18072016       ";"18072016       ";"L         ";"L         ";;"mrsilvei";20.07.2016;"09:51:17";"MAN6400 "
"01";3.025.552;"TIP038         ";20.07.2016;20.07.2016;"TRAN";"2134534   ";;"N";0,024;0,000;0,000;0,000;0,000;"";"";"322       ";"432       ";"055628/001     ";"055628/001     ";"L         ";"L         ";;"mrsilvei";20.07.2016;"09:51:18";"MAN6400 "
"01";3.025.553;"SUP0073        ";20.07.2016;20.07.2016;"S003";"2134534   ";;"N";240,000;0,000;0,000;0,000;0,000;"01100103               ";"10000000  ";"432       ";"";"18072016       ";"";"L         ";"          ";1,000;"mrsilvei";20.07.2016;"09:52:15";"MAN8228 "
"01";3.025.554;"5962199000P-0D ";20.07.2016;20.07.2016;"E007";"2134534   ";;"N";240,000;0,000;0,000;0,000;0,000;"";"10000000  ";"          ";"326       ";"";"7775/9         ";"          ";"L         ";1,000;"mrsilvei";20.07.2016;"09:52:40";"MAN8228 "
"01";3.025.555;"5962199000P-0D ";20.07.2016;20.07.2016;"E007";"2134534   ";;"R";240,000;0,000;0,000;0,000;0,000;"                       ";"10000000  ";"          ";"326       ";"";"7775/9         ";"          ";"L         ";1,000;"mrsilvei";20.07.2016;"09:55:51";"MAN8228 "
