pol1111.4gl	Tipos de análises
pol1112.4gl	Especificações do item (item x tipo de análise x valores padrão)
pol1113.4gl	Resultado das análises por lote (item/lote)
pol1114.4gl	Parâmetro para impressão do certificado
pol1115.4gl	Tipos de caracteres
pol1116.4gl	Geração do certificado
pol1117.4gl	Consulta/alteração de certificado
pol1118.4gl	Itens para analises
pol1119.4gl	Usuário para certificado
pol1120.4gl	Resultado das análises por prazo de validade
pol1132.4gl	Relatório de análises pendentes
pol1133.4gl	Relatório de Certificados com Analises Pendentes

