Nº Conta;Chave Conta;Série NF;Tipo de Conta;Preço da Tarifa;Descrição Tarifária;Dt Emissão;Dt Vencimento;Competência (MM/AAAA);Nº Cliente;Conta Contrato;Nº Contrato;Nº Unidade Consumidora;Nome da Empresa;CNPJ Unidade Consumidora;Nome Unidade Consumidora;Endereço Unidade Consumidora;CEP Unidade Consumidora;Município Unid Consumidora;Grupo/subgrupo;Classe;Setor Insdustrial;Tipo Instalação;Tensão Nominal;Contrato Concessão;Lote;Debito Automático : 0-Não 1-Sim;Cod Medidor;Fator Multiplicação Medidor;Consumo Medido;Consumo Pta;Consumo Fpta;Consumo Faturado;Consumo Fat Pta;Consumo Fat Fpta;Demanda Contratada;Demanda Contratada Pta;Demanda Contratada Fpta;Início Contrato;Fim do Contrato;Dem Medida;Dem Medida Pta;Dem Medida Fpta;Dem Faturada;Dem Faturada Pta;Dem Faturada Fpta;Dem ultrapassagem;Dem ultrapassagem Pta;Dem ultrapassagem Fpta;Consumo Reativo Excede;Consumo Reativo Excede Pta;Consumo Reativo Excede Fpta;Dem Excedente Reativo;Dem Excedente Reativo Pta;Dem Excedente Reativo Fpta;Fator Carga;Fator Carga Pta;Fator Carga Fpta;Perdas de Transformação;Valor Total Documento;Base ICMS;Aliquota ICMS;Valor ICMS;Aliquota PIS;Valor PIS;Aliquota COFINS;Valor COFINS;Serviços;Débito;Crédito;Unid.med.cálc.;Valor de consumo;Codigo de barras;Num. Doc. Orig;Data de estorno;Doc. De impressão;Data emissão;Competência (MM/AAAA);Valor de consumo;Valor ICMS;Valor multa;Valor Juros;Valor correção monetária;Valor Débito;Valor crédito;Valor de consumo;Codigo de barras;Data de vencimento;Valor terceiros;Debito Automático : 0-Não 1-Sim;Chave Conta;Classe;Tensão Nominal;Tipo de fornecimento;Grupo/subgrupo;Descrição Tarifária;Fator de multiplicação 1;Código de medidor;Posição do medidor lida;Fator de multiplicação 2;Consumo Ponta;Consumo Fponta;Consumo Reativo Excedente;Consumo Reativo Excedente Ponta;Cons Reat Excede Fpta;Demanda;Demanda Ponta;Demanda FP;Demanda Ultrapassagem;Demanda Ultrapassagem P;Demanda Ultrapassagem FP;Dem Excede Reativo;Dem Excede Reativo Pta;Dem Excede Reativo FPta;Fator Potência;Fator Potência Pta;Fator Potência FPta;Valor Tributo;dic;Fic;Dmic;Cip
900501658545;004123964;U;Fatura Periódica;0.5781781;BTC;20170328;20170413;201703;0060022643;310071896381;5012742988;0013187775;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R AFONSO LEGAZ GARCIA 695;13180-580;SUMARE;B3;COM;4637-1/99;Monômia;127 V;C_SUM_0004;01;0;208678867;1,00000;741;0;0;741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448.37;428.43;18.000;77.12;0.790;3.38;3.630;15.55;;19.94#Contribuição Custeio IP-CIP   ;;KWH;332.38;83620000014669100403006715685949320000083767;;00000000;900501658545;20170328;201703;332.38;77.12;0;0;0;19.94;0;332.38;83620000014669100403;20170413;0;0;004123964;COM;127 V;B;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96.05;0;0;0;19.94
900501658546;004123965;U;Fatura Periódica;0.5826166;BTC;20170328;20170413;201703;0060022643;310071896402;5012743002;0042754232;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV FUAD ASSEF MALUF 2238;13173-382;SUMARE;B3;COM;9499-5/00;Monômia;127 V;C_SUM_0004;04;0;215894669;1,00000;493;0;0;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300.60;287.23;18.000;51.70;0.790;2.26;3.630;10.43;;13.37#Contribuição Custeio IP-CIP   ;;KWH;222.84;83620000014669100403006715685949320000083767;;00000000;900501658546;20170328;201703;222.84;51.70;0;0;0;13.37;0;222.84;83620000014669100403;20170413;0;0;004123965;COM;127 V;B;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64.39;0;0;0;13.37
901851644715;004255520;U;Fatura Periódica;0.4676000;BTC;20170328;20170413;201703;0060022643;310003199882;5002059201;0009130454;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R JORGE MIRANDA 104;13020-180;CAMPINAS;B1;RES;CPFL-0/01;Monômia;127 V;C_CAM_0023;12;0;208638679;1,00000;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.91;0;0;0;0.790;0.18;3.630;0.87;;;;KWH;22.35;83620000014669100403006715685949320000083767;;00000000;901851644715;20170328;201703;22.35;0;0.63;0.18;0.12;0;0;22.93;83620000014669100403;20170413;0;0;004255520;RES;127 V;B;B1;BTC;1,00000;0;0;0;0;0;0.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.05;0;0;0;0
906101522748;004164024;U;Fatura Periódica;0.5930000;BTC;20170328;20170413;201703;0060022643;310078867084;5014117276;0011145560;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R ISAURA AP OLIVEIRA BARBOSA TERINI 319;13273-105;VALINHOS;B3;COM;9491-0/00;Monômia;127 V;C_VAL_0019;13;0;30743698;1,00000;470;0;0;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;347.27;278.71;18.000;50.17;0.790;2.20;3.630;10.11;;52.50#Contribuição Custeio IP-CIP   ;;KWH;216.23;83620000014669100403006715685949320000083767;;00000000;906101522748;20170328;201703;216.23;50.17;8.92;4.23;2.81;52.50;0;216.23;83620000014669100403;20170413;0;0;004164024;COM;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.48;0;0;0;52.50
906101522749;004164025;U;Fatura Periódica;0.5905678;BTC;20170328;20170413;201703;0060022643;310078867254;5014118327;0010255648;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R MARIA AMELIA RAMOS 303;13058-652;CAMPINAS;B3;COM;9491-0/00;Monômia;127 V;C_CAM_0023;11;0;22336894;1,00000;317;0;0;317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188.81-;187.21;18.000;33.69;0.790;1.49;3.630;6.79;;11.37#Contribuição Custeio IP-CIP   ;;KWH;145.24;83620000014669100403006715685949320000083767;;00000000;906101522749;20170328;201703;145.24;33.69;7.73;3.93;2.60;11.37;0;145.24;83620000014669100403;20170413;0;0;004164025;COM;127 V;B;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.97;0;0;0;11.37
906101522750;004164026;U;Fatura Periódica;0.5897338;BTC;20170328;20170413;201703;0060022643;310078867271;5014118331;0009842357;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV ANTON VON ZUBEN 3241;13051-145;CAMPINAS;B3;COM;9491-0/00;Monômia;127 V;C_CAM_0023;10;0;304684937;1,00000;526;0;0;526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321.57;310.20;18.000;55.83;0.790;2.46;3.630;11.26;;11.37#Contribuição Custeio IP-CIP   ;;KWH;240.65;83620000014669100403006715685949320000083767;;00000000;906101522750;20170328;201703;240.65;55.83;0;0;0;11.37;0;240.65;83620000014669100403;20170413;0;0;004164026;COM;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.55;0;0;0;11.37
909151042408;004284591;U;Fatura Periódica;0.4676000;BTC;20170328;20170413;201703;0060022643;310003220555;5002066517;0030797020;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV OSVALDO PIVA 2689;13140-530;PAULINIA;B1;RES;CPFL-0/01;Monômia;127 V;C_ISENTO;11;0;206294255;1,00000;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110.25-;0;0;0;0.790;0.18;3.630;0.87;;;;KWH;22.35;83620000014669100403006715685949320000083767;;00000000;909151042408;20170328;201703;22.35;0;0;0;22.43-;0;0;22.90;83620000014669100403;20170413;0;0;004284591;RES;127 V;B;B1;BTC;1,00000;0;0;0;0;0;0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.05;0;0;0;0
911050602746;004180566;U;Fatura Periódica;0.4676000;BTC;20170328;20170413;201703;0060022643;310048971886;5006998204;0008211221;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R JOAQUIM TARSO GALLACE ZAMBOM 222;13064-400;CAMPINAS;B1;RES;CPFL-0/01;Monômia;127 V;C_CAM_0023;16;0;207902232;1,00000;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.19;0;0;0;0.790;0.19;3.630;0.88;;;;KWH;22.35;83620000014669100403006715685949320000083767;;00000000;911050602746;20170328;201703;22.35;0;0;0;0;0;0;23.12;83620000014669100403;20170413;0;0;004180566;RES;127 V;B;B1;BTC;1,00000;0;0;0;0;0;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.07;0;0;0;0
916000223928;004293752;U;Fatura Periódica;0.6472560;BTC;20170328;20170413;201703;0060022643;310077696235;5013885508;4001649825;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R EDSON LUIZ RIGONATTO 1061;13000-000;CAMPINAS;B1;RES;CPFL-0/01;Monômia;127 V;C_CAM_0023;09;1;30804864;1,00000;1086;0;0;1086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714.29;702.92;25.000;175.73;0.790;5.55;3.630;25.52;;11.37#Contribuição Custeio IP-CIP   ;;KWH;496.12;83670001102016000403006715685959320000083767;;00000000;916000223928;20170328;201703;496.12;175.73;0;0;0;11.37;0;496.12;83670001102016000403;20170413;0;1;004293752;RES;127 V;T;B1;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206.80;0;0;0;11.37
915300290363;004308674;U;Fatura Periódica;0.5781992;BTC;20170328;20170413;201703;0060022643;310050563544;5007489928;0012595713;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV JOSE LOZANO ARAUJO 160;13140-000;PAULINIA;B3;COM;6399-2/00;Monômia;127 V;C_ISENTO;01;1;400832933;1,00000;7880;0;0;7880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4528.64;4556.21;18.000;820.12;0.790;35.99;3.630;165.39;;1.24#Custo Adicional de Entrega    ;28.81#Ressarcimento FIC Mensal      ;KWH;3534.71;83670001102016000403006715685959320000083767;;00000000;915300290363;20170328;201703;3534.71;820.12;0;0;0;1.24;28.81-;3534.71;83670001102016000403;20170413;0;1;004308674;COM;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1021.50;0;28.81-;0;0
912200505881;004142774;U;Fatura Periódica;0.5913514;BTC;20170328;20170413;201703;0060022643;310076660342;5013689866;0011198940;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R CAETANO FERRARI 61;13272-470;VALINHOS;B3;COM;9491-0/00;Monômia;127 V;C_VAL_0019;12;1;302046216;1,00000;185;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135.66;109.40;18.000;19.69;0.790;0.86;3.630;3.97;;26.26#Contribuição Custeio IP-CIP   ;;KWH;84.88;83670001102016000403006715685959320000083767;;00000000;912200505881;20170328;201703;84.88;19.69;0;0;0;26.26;0;84.88;83670001102016000403;20170413;0;1;004142774;COM;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.52;0;0;0;26.26
911650533946;004153942;U;Fatura Periódica;0.5905714;BTC;20170328;20170413;201703;0060022643;310078560281;5014055756;0042167116;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R MANOEL MESSIAS DA SILVA 1840;13179-071;SUMARE;B3;COM;9491-0/00;Monômia;127 V;C_SUM_0004;11;1;305518810;1,00000;210;0;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129.79;124.02;18.000;22.33;0.790;0.98;3.630;4.50;;5.77#Contribuição Custeio IP-CIP   ;;KWH;96.21;83670001102016000403006715685959320000083767;;00000000;911650533946;20170328;201703;96.21;22.33;0;0;0;5.77;0;96.21;83670001102016000403;20170413;0;1;004153942;COM;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.81;0;0;0;5.77
909151042407;004284590;U;Fatura Periódica;0.6454630;BTC;20170328;20170413;201703;0060022643;310003217236;5002063112;0025533096;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R REV HERCULANO GOUVEIA JUNIOR 660;13050-020;CAMPINAS;B1;RES;CPFL-0/01;Monômia;127 V;C_CAM_0023;08;1;305227211;1,00000;1285;0;0;1285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;840.79;829.42;25.000;207.36;0.790;6.55;3.630;30.11;;11.37#Contribuição Custeio IP-CIP   ;;KWH;585.40;83670001102016000403006715685959320000083767;;00000000;909151042407;20170328;201703;585.40;207.36;0;0;0;11.37;0;585.40;83670001102016000403;20170413;0;1;004284590;RES;127 V;T;B1;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244.02;0;0;0;11.37
906001527771;004275983;U;Fatura Periódica;0.5760005;HV;20170328;20170413;201703;0060022643;320000083767;5002075306;0034301801;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R DR SALES DE OLIVEIRA 365;13035-270;CAMPINAS;A4;COM;9491-0/00;Alta/Media Tensão: THS Verde;11,9 KV;C_CAM_0023;09;1;40122276;1,00000;152252;21945;130307;152252;21945;130307;470;0;0;13.04.2013;31.12.9999;0;0;0;592;0;0;122;0;0;0;74;1070;0;0;0;0,37;0;0;2,50;96848.99;96837.17;18.000;17430.69;0.790;765.00;3.630;3515.18;;11.37#Contribuição Custeio IP-CIP   #0.45#Custo Adicional de Entrega    ;;KW;68035.52;83670001102016000403006715685959320000083767;;00000000;906001527771;20170328;201703;68035.52;17430.69;0;0;0;11.82;0;75126.30;83670001102016000403;20170413;0;1;004275983;COM;11,9 KV;T;A4;HV;1,00000;40122276;31500;1,00000;22993.17;45042.35;0;20.10;290.72;6779.96;0;0;1978.84;0;0;0;0;0;0,92;0,92;0,92;21710.87;0;0;0;11.37
905801542099;004174084;U;Fatura Periódica;0.5872300;BTC;20170328;20170413;201703;0060022643;310046670552;5006667009;0037981439;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV ANHANGUERA 245;13183-120;HORTOLANDIA;B3;IND;CPFL-0/07;Monômia;127 V;C_HOR_0014;08;1;302936432;1,00000;935;0;0;935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596.13;549.06;18.000;98.83;0.790;4.34;3.630;19.94;;47.07#Contribuição Custeio IP-CIP   ;;KWH;425.95;83670001102016000403006715685959320000083767;;00000000;905801542099;20170328;201703;425.95;98.83;0;0;0;47.07;0;425.95;83670001102016000403;20170413;0;1;004174084;IND;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123.11;0;0;0;47.07
903751609565;004246823;U;Fatura Periódica;0.5872277;BTC;20170328;20170413;201703;0060022643;310080235162;5014384029;4000925975;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV ADOLPHO BLOCH 527;13058-120;CAMPINAS;B3;COM;9491-0/00;Monômia;127 V;C_CAM_0023;08;1;22214304;1,00000;303;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192.76;177.93;18.000;32.03;0.790;1.41;3.630;6.46;;11.37#Contribuição Custeio IP-CIP   ;;KWH;138.03;83670001102016000403006715685959320000083767;;00000000;903751609565;20170328;201703;138.03;32.03;2.85;0.56;0.05;11.37;0;138.03;83670001102016000403;20170413;0;1;004246823;COM;127 V;B;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39.90;0;0;0;11.37
903751609564;004246822;U;Fatura Periódica;0.5871805;BTC;20170328;20170413;201703;0060022643;310080235154;5014383980;4000925974;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV ADOLPHO BLOCH 527;13058-120;CAMPINAS;B3;COM;9491-0/00;Monômia;127 V;C_CAM_0023;08;1;22214303;1,00000;266;0;0;266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171.32;156.19;18.000;28.12;0.790;1.24;3.630;5.66;;11.37#Contribuição Custeio IP-CIP   ;;KWH;121.17;83670001102016000403006715685959320000083767;;00000000;903751609564;20170328;201703;121.17;28.12;3.10;0.61;0.05;11.37;0;121.17;83670001102016000403;20170413;0;1;004246822;COM;127 V;B;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.02;0;0;0;11.37
903601610882;004182769;U;Fatura Periódica;0.5826074;BTC;20170328;20170413;201703;0060022643;310071935807;5012749164;4000842532;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R LEONICE APARECIDA OLIVEIRA DA SILVA 730;13053-144;CAMPINAS;B3;IND;CPFL-0/07;Monômia;127 V;C_CAM_0023;04;1;30751117;1,00000;652;0;0;652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;391.23;379.86;18.000;68.37;0.790;3.00;3.630;13.79;;11.37#Contribuição Custeio IP-CIP   ;;KWH;294.70;83670001102016000403006715685959320000083767;;00000000;903601610882;20170328;201703;294.70;68.37;0;0;0;11.37;0;294.70;83670001102016000403;20170413;0;1;004182769;IND;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85.16;0;0;0;11.37
901851644721;004255526;U;Fatura Periódica;0.5963790;BTC;20170328;20170413;201703;0060022643;310003201411;5002059425;0011851368;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;R RAUL SILVA 11;13150-000;COSMOPOLIS;B3;COM;9491-0/00;Monômia;127 V;C_COS_0001;16;1;30768308;1,00000;2955;0;0;2955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1808.56;1762.30;18.000;317.21;0.790;13.93;3.630;63.97;;46.26#Contribuição Custeio IP-CIP   ;;KWH;1367.19;83670001102016000403006715685959320000083767;;00000000;901851644721;20170328;201703;1367.19;317.21;0;0;0;46.26;0;1367.19;83670001102016000403;20170413;0;1;004255526;COM;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;395.11;0;0;0;46.26
901851644720;004255525;U;Fatura Periódica;0.5938809;BTC;20170328;20170413;201703;0060022643;310003200872;5002059344;0010395113;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV RUY RODRIGUES 573;13060-192;CAMPINAS;B3;COM;5229-0/99;Monômia;127 V;C_CAM_0023;14;1;306097370;1,00000;1796;0;0;1796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1077.98;1066.61;18.000;191.98;0.790;8.43;3.630;38.72;;11.37#Contribuição Custeio IP-CIP   ;;KWH;827.48;83670001102016000403006715685959320000083767;;00000000;901851644720;20170328;201703;827.48;191.98;0;0;0;11.37;0;827.48;83670001102016000403;20170413;0;1;004255525;COM;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239.13;0;0;0;11.37
901851644719;004255524;U;Fatura Periódica;0.5938620;BTC;20170328;20170413;201703;0060022643;310003200660;5002059313;0010394605;Rio Grande Energia S.A.;29744778000197;IGREJA UNIVERSAL DO REINO DE DEUS;AV RUY RODRIGUES 593;13060-192;CAMPINAS;B3;COM;9609-2/99;Monômia;127 V;C_CAM_0023;14;1;302120041;1,00000;681;0;0;681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417.03;404.42;18.000;72.80;0.790;3.19;3.630;14.68;;11.37#Contribuição Custeio IP-CIP   #1.24#Custo Adicional de Entrega    ;;KWH;313.75;83670001102016000403006715685959320000083767;;00000000;901851644719;20170328;201703;313.75;72.80;0;0;0;12.61;0;313.75;83670001102016000403;20170413;0;1;004255524;COM;127 V;T;B3;BTC;1,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90.67;0;0;0;11.37
