------------------------------------------------------------------------------------------------------------------------------------------------------------------------
POLIMETRI INDUSTRIA METALURGICA LTDA                                                                                  PAG:    1
pol1223                                 DETALHAMENTO DO ARQUIVO PARA EDI                            DATA: 29/08/2013 - 15:46:58
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PEDIDO|NUM OC |   COD. ITEM   |  COD. FORNEC   |  SALDO   | PEDIDO CLI|       COD. ITEM CLI          |  CONTATO  | PRZ. ENTREGA
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
093424|8778029|CC.013.EX      |002269509000402 |   600,000|           |CC.013.EX CLIENTE             |CONTATO FOR|09/09/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
093424|8778029|CC.013.EX      |002269509000402 |  1200,000|           |CC.013.EX CLIENTE             |CONTATO FOR|16/09/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
093424|8778029|CC.013.EX      |002269509000402 |   600,000|           |CC.013.EX CLIENTE             |CONTATO FOR|23/09/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
093424|8778029|CC.013.EX      |002269509000402 |   600,000|           |CC.013.EX CLIENTE             |CONTATO FOR|30/09/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
094585|9203794|CC.013.EX      |002269509000402 |   600,000|           |CC.013.EX CLIENTE             |CONTATO FOR|07/10/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
094585|9203794|CC.013.EX      |002269509000402 |   600,000|           |CC.013.EX CLIENTE             |CONTATO FOR|14/10/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
094585|9203794|CC.013.EX      |002269509000402 |  1200,000|           |CC.013.EX CLIENTE             |CONTATO FOR|21/10/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
094585|9203794|CC.013.EX      |002269509000402 |   600,000|           |CC.013.EX CLIENTE             |CONTATO FOR|28/10/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
094999|9357104|CC.013.EX      |002269509000402 |   600,000|XXY1       |CC.013.EX CLIENTE             |CONTATO FOR|04/11/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
094999|9357104|CC.013.EX      |002269509000402 |   600,000|XXY1       |CC.013.EX CLIENTE             |CONTATO FOR|11/11/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------
094999|9357104|CC.013.EX      |002269509000402 |   600,000|XXY1       |CC.013.EX CLIENTE             |CONTATO FOR|18/11/2013    |TUBO CONF.DES. CC.013 REV.12/12/08      
------|-------|---------------|----------------|----------|-----------|------------------------------|-----------|--------------|----------------------------------------






































